iter	RMSE
0	176.3908135
1	171.6114732
2	167.1653305
3	163.0782476
4	158.935694
5	155.0084545
6	151.2788864
7	147.7740815
8	144.3507721
9	141.1950436
10	138.123068
11	135.1518399
12	132.3509901
13	129.613603
14	127.178779
15	124.8215342
16	122.1558811
17	120.0773503
18	117.4649458
19	115.40309
20	112.9719936
21	111.4757163
22	109.6071893
23	107.9416408
24	106.2871878
25	104.783492
26	103.4386162
27	101.4988111
28	100.2647802
29	99.16572472
30	97.49687481
31	95.65492593
32	94.15642255
33	93.06245299
34	92.03387188
35	90.66522027
36	88.92743055
37	87.4732362
38	86.43428945
39	85.03363143
40	84.40071753
41	83.70649713
42	82.37026015
43	81.69861621
44	81.18191158
45	80.08240399
46	79.46200147
47	78.91168539
48	77.9692098
49	77.19295456
50	76.11924834
51	75.43310362
52	74.69647318
53	74.36128202
54	73.36892142
55	72.94679904
56	72.24945066
57	71.5403969
58	70.71705795
59	69.91968554
60	69.61959599
61	69.02571673
62	68.37155221
63	68.07594108
64	67.82308651
65	67.55782594
66	67.01840532
67	66.63776287
68	66.18772077
69	65.96095339
70	65.78746017
71	65.26993329
72	65.04774795
73	64.57892583
74	64.34321164
75	63.90942102
76	63.48158949
77	63.14206846
78	62.82296769
79	62.57946644
80	62.11311207
81	61.92204689
82	61.76489436
83	61.40311849
84	61.07458827
85	60.71988445
86	60.55832553
87	60.32990721
88	60.00197289
89	59.61692438
90	59.4645441
91	59.33472537
92	59.24415496
93	59.11784598
94	59.01859544
95	58.90118219
96	58.82457458
97	58.57221002
98	58.25207194
99	57.90902471
100	57.84979502
101	57.5910658
102	57.50253723
103	57.20416737
104	57.09454373
105	56.98290114
106	56.72001095
107	56.64301347
108	56.55111112
109	56.3141744
110	56.25712136
111	56.02244342
112	55.9436532
113	55.67507258
114	55.59149203
115	55.50417195
116	55.41404211
117	55.19901369
118	55.13520103
119	54.95655702
120	54.90855604
121	54.80029458
122	54.54836264
123	54.42250009
124	54.33486675
125	54.27081557
126	54.13689012
127	54.06181345
128	53.9754465
129	53.89815613
130	53.75760393
131	53.70064732
132	53.59844527
133	53.51112562
134	53.32811213
135	53.15609307
136	53.08957925
137	53.03034058
138	52.86981564
139	52.74592623
140	52.61173992
141	52.51825749
142	52.46745763
143	52.42012978
144	52.27781368
145	52.22008894
146	52.14232812
147	52.0824603
148	51.94514646
149	51.90512653
150	51.84312011
151	51.7005089
152	51.57621641
153	51.45524504
154	51.40095952
155	51.36093171
156	51.30492063
157	51.21456171
158	51.15227531
159	51.10555895
160	51.0663277
161	50.96986474
162	50.92920327
163	50.88823576
164	50.79122524
165	50.68846561
166	50.64822962
167	50.58936043
168	50.52293861
169	50.41186644
170	50.36881349
171	50.33041045
172	50.28955888
173	50.21093665
174	50.14810749
175	50.1138945
176	50.02103136
177	49.994447
178	49.95144022
179	49.92030257
180	49.77814759
181	49.73805446
182	49.62794661
183	49.60659835
184	49.57100116
185	49.55267429
186	49.54911737
187	49.39307645
188	49.34272655
189	49.27053567
190	49.22149451
191	49.17116953
192	49.09014438
193	49.0635404
194	48.91430237
195	48.84743608
196	48.79141054
197	48.76079766
198	48.7350822
199	48.69309481
200	48.5993707
201	48.56403732
202	48.51070994
203	48.49332721
204	48.40068825
205	48.37786727
206	48.36464316
207	48.34812834
208	48.31156532
209	48.2693208
210	48.24080551
211	48.22027061
212	48.20076163
213	48.07323928
214	47.98954509
215	47.96731684
216	47.90732911
217	47.86728332
218	47.84247824
219	47.8110354
220	47.73893447
221	47.65508326
222	47.58571744
223	47.58403135
224	47.57058887
225	47.54247523
226	47.47914369
227	47.47867275
228	47.43972994
229	47.42560869
230	47.40150434
231	47.34694401
232	47.33691447
233	47.24026778
234	47.24023994
235	47.18036854
236	47.16229098
237	47.09629784
238	47.0802158
239	47.05104742
240	46.99424236
241	46.96176482
242	46.95179773
243	46.95035035
244	46.93361811
245	46.89113731
246	46.82200449
247	46.79589817
248	46.75894886
249	46.71710224
250	46.70613957
251	46.70513046
252	46.67853143
253	46.6431858
254	46.62946738
255	46.54088093
256	46.48468328
257	46.47819148
258	46.44472298
259	46.41189396
260	46.32968652
261	46.2770695
262	46.25204668
263	46.25126228
264	46.19418555
265	46.15061325
266	46.10793402
267	46.09643652
268	46.04974424
269	45.99776968
270	45.9950698
271	45.93255413
272	45.87876495
273	45.82947369
274	45.82392956
275	45.7954569
276	45.77810861
277	45.72437026
278	45.7242576
279	45.71200661
280	45.69103327
281	45.67020149
282	45.64938902
283	45.62138403
284	45.5891955
285	45.58674071
286	45.58657
287	45.5671193
288	45.54430079
289	45.53148623
290	45.52961092
291	45.4893369
292	45.48924293
293	45.48754178
294	45.45470628
295	45.42435175
296	45.39553672
297	45.38622066
298	45.37744617
299	45.31984214
300	45.30361094
301	45.277031
302	45.25877199
303	45.23635281
304	45.19750293
305	45.18575437
306	45.18452937
307	45.17496114
308	45.17488835
309	45.14169188
310	45.07739701
311	45.03461825
312	44.99241273
313	44.99234939
314	44.97815427
315	44.96743309
316	44.96733316
317	44.96051256
318	44.95807952
319	44.90811698
320	44.89779409
321	44.89739372
322	44.8965173
323	44.8883845
324	44.88270703
325	44.87467676
326	44.8497513
327	44.849634
328	44.84248264
329	44.79666586
330	44.77606423
331	44.77059041
332	44.77058306
333	44.73911761
334	44.68010432
335	44.68010678
336	44.67944197
337	44.65469717
338	44.65469472
339	44.65467017
340	44.60391071
341	44.59054568
342	44.56585974
343	44.56059377
344	44.56057409
345	44.55354363
346	44.5187464
347	44.49210405
348	44.44275707
349	44.44275954
350	44.44075443
351	44.4407495
352	44.4407199
353	44.37687163
354	44.34224474
355	44.34195059
356	44.34192834
357	44.33094451
358	44.33094698
359	44.27866786
360	44.27753412
361	44.27750689
362	44.23703447
363	44.21751563
364	44.21717355
365	44.21715372
366	44.21500948
367	44.21498469
368	44.1396271
369	44.1396271
370	44.13822904
371	44.13718109
372	44.13687564
373	44.13551226
374	44.09464604
375	44.06316555
376	44.02321065
377	43.99457162
378	43.99415805
379	43.99415307
380	43.99139251
381	43.98969324
382	43.9491553
383	43.94888345
384	43.92157601
385	43.84980618
386	43.81406231
387	43.80072152
388	43.78030967
389	43.76364023
390	43.76338728
391	43.75018387
392	43.72569779
393	43.72568275
394	43.70806714
395	43.69770407
396	43.67194875
397	43.6426774
398	43.59612014
399	43.57192985
400	43.52882986
401	43.5123185
402	43.51212202
403	43.51175676
404	43.51151493
405	43.51132852
406	43.51130585
407	43.49031208
408	43.49003737
409	43.48157849
410	43.4814222
411	43.47823078
412	43.47808204
413	43.47097484
414	43.47021085
415	43.47001922
416	43.44204745
417	43.43487884
418	43.43115907
419	43.42620982
420	43.41883411
421	43.4186574
422	43.4186372
423	43.41849331
424	43.41848321
425	43.41486808
426	43.41473427
427	43.4118586
428	43.40785405
429	43.36401975
430	43.36389084
431	43.32727557
432	43.32715668
433	43.32662289
434	43.28997864
435	43.28984697
436	43.28943174
437	43.24056774
438	43.24041565
439	43.20339383
440	43.19880415
441	43.18950151
442	43.16984926
443	43.13666737
444	43.12602721
445	43.1057383
446	43.08229287
447	43.0393163
448	43.0096093
449	42.99047651
450	42.99043317
451	42.95865635
452	42.92509927
453	42.90758414
454	42.88664242
455	42.87530239
456	42.85711347
457	42.8475934
458	42.84137301
459	42.84078712
460	42.82388762
461	42.82375965
462	42.78781826
463	42.77909754
464	42.77894637
465	42.77132579
466	42.76182763
467	42.72239771
468	42.72144973
469	42.69194901
470	42.69137904
471	42.67478509
472	42.65445886
473	42.65388968
474	42.6538794
475	42.63982476
476	42.60586864
477	42.59750436
478	42.58470133
479	42.57117097
480	42.54660145
481	42.5365558
482	42.50289756
483	42.50287951
484	42.48129966
485	42.4774551
486	42.47670679
487	42.46875453
488	42.46862033
489	42.46195851
490	42.45122153
491	42.43340102
492	42.43273459
493	42.42052263
494	42.42050712
495	42.42004203
496	42.37272083
497	42.372629
498	42.34476192
499	42.33755508
500	42.29402779
501	42.29339804
502	42.2933799
503	42.28402322
504	42.25705873
505	42.25704576
506	42.25647641
507	42.25628187
508	42.22436789
509	42.22362158
510	42.22294405
511	42.21068308
512	42.19132698
513	42.19132309
514	42.18179567
515	42.16213775
516	42.14108958
517	42.13841181
518	42.13147405
519	42.13044643
520	42.13044123
521	42.10206369
522	42.10163544
523	42.08844198
524	42.07710043
525	42.0770848
526	42.06791191
527	42.05390513
528	42.00964301
529	41.99039785
530	41.96796948
531	41.93481673
532	41.93469127
533	41.93468081
534	41.91837041
535	41.91830897
536	41.90275992
537	41.90274815
538	41.87670944
539	41.87665447
540	41.86860133
541	41.86853065
542	41.86804896
543	41.84972607
544	41.82622124
545	41.82620159
546	41.79759914
547	41.78898653
548	41.76375609
549	41.7634254
550	41.74992686
551	41.74991767
552	41.74339848
553	41.73194346
554	41.71323366
555	41.69827712
556	41.66665388
557	41.65619342
558	41.63073506
559	41.61344293
560	41.6043193
561	41.60422445
562	41.60319698
563	41.56312016
564	41.55033342
565	41.55031892
566	41.550311
567	41.55014086
568	41.54422748
569	41.53546732
570	41.51819359
571	41.50735111
572	41.48709622
573	41.48626532
574	41.47240963
575	41.44253288
576	41.43639518
577	41.43638989
578	41.43016264
579	41.42914276
580	41.40317946
581	41.38484808
582	41.37812965
583	41.36913827
584	41.36912369
585	41.35757031
586	41.35660826
587	41.35397379
588	41.31645541
589	41.31541547
590	41.29059247
591	41.28918289
592	41.28015487
593	41.26378498
594	41.221614
595	41.17276104
596	41.17259332
597	41.1616212
598	41.13983468
599	41.13649623
600	41.13648691
601	41.12201228
602	41.10647933
603	41.08449016
604	41.08448216
605	41.0843461
606	41.08432876
607	41.06623938
608	41.05583018
609	41.04543302
610	41.04543302
611	41.01300442
612	41.00790231
613	40.9972858
614	40.99728446
615	40.98660904
616	40.97883971
617	40.97856822
618	40.97856822
619	40.97770695
620	40.97545337
621	40.95833818
622	40.93643946
623	40.9338074
624	40.9152992
625	40.91529384
626	40.89585397
627	40.89552029
628	40.89517053
629	40.88597106
630	40.87596778
631	40.8758337
632	40.86580916
633	40.84808857
634	40.8310985
635	40.8309173
636	40.79950295
637	40.79890386
638	40.7988958
639	40.79688758
640	40.77743023
641	40.77742486
642	40.77699075
643	40.77696118
644	40.77695715
645	40.7519514
646	40.7515883
647	40.75158562
648	40.73107599
649	40.72848986
650	40.72848583
651	40.72834185
652	40.72783994
653	40.72529936
654	40.72529533
655	40.72528994
656	40.70301137
657	40.70218331
658	40.70181303
659	40.69873625
660	40.69873221
661	40.68267259
662	40.67131632
663	40.64447926
664	40.64442128
665	40.62219144
666	40.62066558
667	40.60902341
668	40.57355279
669	40.57355009
670	40.55033266
671	40.51877922
672	40.51153433
673	40.49268019
674	40.47892848
675	40.44517442
676	40.44507279
677	40.42493773
678	40.42387079
679	40.42351966
680	40.39731975
681	40.37282003
682	40.34838149
683	40.34809082
684	40.34785856
685	40.33143094
686	40.2884813
687	40.27147696
688	40.26820806
689	40.26784468
690	40.26783651
691	40.24741943
692	40.24719475
693	40.24709399
694	40.24709535
695	40.24689518
696	40.2298828
697	40.22002156
698	40.2200202
699	40.20727248
700	40.18474217
701	40.18437804
702	40.18387343
703	40.13611548
704	40.11136468
705	40.10292835
706	40.10053541
707	40.0686305
708	40.06855801
709	40.04864281
710	40.04864144
711	40.00243457
712	39.99762831
713	39.99759953
714	39.99749266
715	39.96572352
716	39.96568101
717	39.94924576
718	39.94910172
