iter	RMSE
0	177.4797332
1	172.7454904
2	168.2578347
3	164.0154075
4	159.8278141
5	155.9552488
6	152.150645
7	148.6070892
8	145.2964412
9	141.8993527
10	138.6140368
11	135.6960469
12	132.8678677
13	130.0831165
14	127.6639122
15	125.1691247
16	122.7736701
17	120.4297532
18	118.1584951
19	116.1401501
20	114.1644134
21	112.3130082
22	110.5342668
23	108.7652394
24	107.2004901
25	105.7057638
26	104.0539057
27	102.5906201
28	100.8452459
29	99.66319078
30	98.02604515
31	96.9931456
32	95.9692129
33	94.62824414
34	93.11802744
35	91.62731198
36	90.31724367
37	89.2340022
38	88.46881396
39	87.77543634
40	87.00202635
41	86.36554187
42	85.10806534
43	84.52282836
44	83.31474921
45	82.83564586
46	81.85011093
47	81.27305121
48	80.82252466
49	80.38344791
50	79.95387923
51	79.54249197
52	78.63029342
53	78.28692536
54	77.75787993
55	77.40585332
56	76.58319264
57	76.27766006
58	75.22921322
59	74.96886044
60	74.31019732
61	74.04051427
62	73.37186576
63	72.61532177
64	71.87415205
65	71.13359608
66	70.93660222
67	70.56827553
68	70.04573239
69	69.48921297
70	69.28923674
71	68.72458863
72	68.15010328
73	67.93584785
74	67.78131802
75	67.2755157
76	66.71493316
77	66.15822594
78	65.68508551
79	65.243906
80	65.09754111
81	64.63017307
82	64.21882206
83	63.86613573
84	63.72624569
85	63.58147275
86	63.46512164
87	63.33546771
88	62.8869626
89	62.76570583
90	62.66605409
91	62.27091136
92	61.86889061
93	61.77014504
94	61.6816734
95	61.57478495
96	61.26663469
97	61.0011884
98	60.91018548
99	60.42239902
100	60.01099471
101	59.7149432
102	59.61410812
103	59.29328864
104	59.19783287
105	59.10045733
106	58.99841597
107	58.94024782
108	58.84421935
109	58.75940465
110	58.67259735
111	58.58959775
112	58.16610016
113	57.90886606
114	57.66166079
115	57.6063632
116	57.35427671
117	57.29942661
118	57.01182008
119	56.72353789
120	56.67802812
121	56.56263623
122	56.4970969
123	56.43333442
124	56.25573139
125	56.19720923
126	56.09660059
127	55.90070508
128	55.64564675
129	55.45572672
130	55.28538644
131	55.23846362
132	55.01256461
133	54.79066167
134	54.62317985
135	54.54849313
136	54.51661263
137	54.4327753
138	54.22893163
139	54.21967555
140	54.1933278
141	54.15191999
142	53.98201385
143	53.74430665
144	53.62924899
145	53.58956321
146	53.50860799
147	53.34178383
148	53.27472026
149	53.22778767
150	53.1368264
151	53.0841414
152	53.01578021
153	52.84131464
154	52.80886223
155	52.67774571
156	52.56312687
157	52.49195107
158	52.43994338
159	52.41709249
160	52.26537388
161	52.14042535
162	52.0472921
163	51.94668954
164	51.90049479
165	51.82579286
166	51.78690933
167	51.63293356
168	51.61067895
169	51.47097622
170	51.36403407
171	51.34341137
172	51.22102446
173	51.0833245
174	50.99341303
175	50.96920183
176	50.84858292
177	50.8090551
178	50.76928276
179	50.68718363
180	50.65475984
181	50.54223505
182	50.5199773
183	50.44887161
184	50.33376339
185	50.24090268
186	50.21122075
187	50.10128562
188	50.07531444
189	50.05020799
190	50.03130908
191	49.99101446
192	49.94092803
193	49.89578046
194	49.82844545
195	49.72016836
196	49.67208395
197	49.63027196
198	49.62504408
199	49.5722287
200	49.50905439
201	49.49130427
202	49.39134984
203	49.38527326
204	49.35516781
205	49.33313436
206	49.33203009
207	49.29734095
208	49.28647821
209	49.26486124
210	49.26162833
211	49.23219981
212	49.18738222
213	49.13594348
214	49.01743468
215	48.96155065
216	48.93407637
217	48.93324534
218	48.92490066
219	48.86194374
220	48.86030837
221	48.85004179
222	48.84329196
223	48.7460923
224	48.68690041
225	48.62281252
226	48.54719207
227	48.50457989
228	48.48404085
229	48.42803018
230	48.34219541
231	48.27852857
232	48.25181938
233	48.21125608
234	48.18400914
235	48.16528144
236	48.16442349
237	48.10288893
238	48.01268341
239	47.95296566
240	47.9528308
241	47.88220276
242	47.85771621
243	47.83902803
244	47.78396566
245	47.78366287
246	47.78352294
247	47.77027619
248	47.77025325
249	47.76902107
250	47.68632149
251	47.68595142
252	47.66047173
253	47.57967068
254	47.54564415
255	47.54514618
256	47.54508163
257	47.51228765
258	47.45053802
259	47.42335094
260	47.35425253
261	47.28909336
262	47.25950806
263	47.22626279
264	47.19718387
265	47.17488834
266	47.13982557
267	47.10922515
268	47.08589632
269	47.03934608
270	46.96703633
271	46.96482854
272	46.91594108
273	46.91053922
274	46.91050651
275	46.88385494
276	46.86857657
277	46.86697455
278	46.81882071
279	46.81789127
280	46.8178421
281	46.81747921
282	46.79770343
283	46.79505431
284	46.71785494
285	46.66594193
286	46.66497655
287	46.63056463
288	46.60947964
289	46.59044605
290	46.59016608
291	46.55829568
292	46.53226448
293	46.47739443
294	46.46088539
295	46.45229478
296	46.42749085
297	46.39935708
298	46.38323381
299	46.3680127
300	46.33131493
301	46.30001445
302	46.28537458
303	46.25985088
304	46.21288127
305	46.16939901
306	46.16648117
307	46.16507085
308	46.15115532
309	46.10594598
310	46.06769041
311	46.01836674
312	46.01826432
313	46.00508348
314	45.95614818
315	45.92075635
316	45.88383226
317	45.85357214
318	45.81622548
319	45.81611304
320	45.76071962
321	45.76051842
322	45.76004654
323	45.7014242
324	45.66262328
325	45.6357137
326	45.59874149
327	45.55385014
328	45.55229813
329	45.52355848
330	45.48284663
331	45.48283699
332	45.41804348
333	45.41201451
334	45.36377805
335	45.34051572
336	45.31711567
337	45.27752546
338	45.2699403
339	45.2612738
340	45.21912354
341	45.21828241
342	45.19608748
343	45.14806946
344	45.14753778
345	45.14730713
346	45.13452036
347	45.13429451
348	45.11385378
349	45.11363755
350	45.09511257
351	45.06719287
352	45.04359486
353	45.0410762
354	45.03781511
355	45.03734053
356	45.03670045
357	45.03651791
358	45.03598004
359	45.03595083
360	45.00495989
361	45.00207859
362	45.00189591
363	45.00117251
364	44.97213184
365	44.9426578
366	44.91803537
367	44.91687137
368	44.89296239
369	44.89280369
370	44.8916195
371	44.89122395
372	44.88872116
373	44.8654446
374	44.83536748
375	44.79823877
376	44.79785463
377	44.76866248
378	44.76806998
379	44.73621477
380	44.72290608
381	44.7226806
382	44.70043575
383	44.70007529
384	44.64061345
385	44.64033108
386	44.60860335
387	44.59916444
388	44.59835094
389	44.53369565
390	44.49901742
391	44.49115912
392	44.48960453
393	44.48437867
394	44.48434417
395	44.48366903
396	44.48349655
397	44.48235321
398	44.42162776
399	44.42148711
400	44.42135387
401	44.42123543
402	44.42090231
403	44.38534573
404	44.36889821
405	44.36877716
406	44.36786556
407	44.36754934
408	44.33105739
409	44.31732528
410	44.31402083
411	44.30492489
412	44.30481851
413	44.30480861
414	44.30475418
415	44.25934039
416	44.21719932
417	44.2164259
418	44.21393449
419	44.18991307
420	44.18954845
421	44.18901515
422	44.16397751
423	44.14460709
424	44.0960481
425	44.05968455
426	44.03046354
427	44.0075475
428	44.00726107
429	44.00640176
430	43.98832
431	43.95299452
432	43.944637
433	43.94422794
434	43.92494527
435	43.90528215
436	43.8769251
437	43.85480861
438	43.84456994
439	43.81695909
440	43.81685152
441	43.79480231
442	43.77569419
443	43.76710998
444	43.76659908
445	43.74550675
446	43.74540653
447	43.70866349
448	43.70858073
449	43.70845284
450	43.70817698
451	43.67569932
452	43.65449278
453	43.65388013
454	43.62165101
455	43.57467257
456	43.5745971
457	43.57445624
458	43.57401351
459	43.57392296
460	43.57385755
461	43.57378964
462	43.56351007
463	43.56323582
464	43.56139147
465	43.53419521
466	43.53413479
467	43.51331519
468	43.51329
469	43.51323206
470	43.49503852
471	43.49481676
472	43.46334984
473	43.46311782
474	43.46297912
475	43.4629312
476	43.44399754
477	43.40699684
478	43.39313649
479	43.39282327
